station-num,station-region,typhoon,date,wind-avg-speed,wind-avg-strength,wind-moment-speed,wind-moment-strength,daily-rain,type
4,新屋,昌鴻,2015/7/10,12.5,6,20.7,8,3.9,2
4,新屋,蓮花,2015/7/9,11.1,6,16.9,7,0.1,4
4,新屋,蓮花,2015/7/8,10.7,5,17.9,8,0,4
4,新屋,蓮花,2015/7/7,9.8,5,15.2,7,0,4
4,新屋,紅霞,2015/5/11,8,5,11.8,6,0,4
4,新屋,鳳凰,2014/9/22,12.1,6,18.7,8,24.5,4
4,新屋,鳳凰,2014/9/21,8,5,14.3,7,5,4
4,新屋,鳳凰,2014/9/20,13.7,6,20.8,9,0,4
4,新屋,麥德姆,2014/7/23,17.5,8,28.8,11,26.5,3
4,新屋,麥德姆,2014/7/22,13.9,7,23,9,1,1
4,新屋,哈吉貝,2014/6/15,5.6,4,8.2,5,1,4
4,新屋,菲特,2013/10/7,4.6,3,7.6,4,0.6,4
4,新屋,菲特,2013/10/6,11.1,6,18.9,8,1,4
4,新屋,菲特,2013/10/5,11.4,6,18.1,8,1.5,4
4,新屋,天兔,2013/9/22,12.5,6,21.9,9,4,4
4,新屋,天兔,2013/9/21,14.2,7,25.4,10,3.5,1
4,新屋,天兔,2013/9/20,12.8,6,20.7,8,6.5,4
4,新屋,康芮,2013/8/29,12.1,6,19.1,8,109,4
4,新屋,康芮,2013/8/28,10.7,5,15.8,7,0,4
